referenceid,endpoint,resolverid,displaycolor
seaofthieves,https://seaofthieves.gamepedia.com/api.php,generic,"!random"
westofloathing,https://westofloathing.gamepedia.com/api.php,generic,"!random"
futuramaworldsoftomorrow,https://futuramaworldsoftomorrow.gamepedia.com/api.php,generic,"!random"
civ5customization,https://civ5customization.gamepedia.com/api.php,generic,"!random"
tyranny,https://tyranny.gamepedia.com/api.php,generic,"!random"
atlas,https://atlas.gamepedia.com/api.php,generic,"!random"
kingdomcomedeliverance,https://kingdomcomedeliverance.gamepedia.com/api.php,generic,"!random"
langrisser,https://langrisser.gamepedia.com/api.php,generic,"!random"
theforest,https://theforest.gamepedia.com/api.php,generic,"!random"
aether,https://aether.gamepedia.com/api.php,generic,"!random"
wynncraft,https://wynncraft.gamepedia.com/api.php,generic,"!random"
necronia,https://necronia.gamepedia.com/api.php,generic,"!random"
lifeisfeudal,https://lifeisfeudal.gamepedia.com/api.php,generic,"!random"
blacksurvival,https://blacksurvival.gamepedia.com/api.php,generic,"!random"
orcsmustdieunchained,https://orcsmustdieunchained.gamepedia.com/api.php,generic,"!random"
pubg,https://pubg.gamepedia.com/api.php,generic,"!random"
evony,https://evony.gamepedia.com/api.php,generic,"!random"
roguetech,https://roguetech.gamepedia.com/api.php,generic,"!random"
dishonored,https://dishonored.gamepedia.com/api.php,generic,"!random"
coraabia,https://coraabia.gamepedia.com/api.php,generic,"!random"
portalknights,https://portalknights.gamepedia.com/api.php,generic,"!random"
mytimeatportia,https://mytimeatportia.gamepedia.com/api.php,generic,"!random"
civ6,https://civ6.gamepedia.com/api.php,generic,"!random"
elex,https://elex.gamepedia.com/api.php,generic,"!random"
infestationnewz,https://infestationnewz.gamepedia.com/api.php,generic,"!random"
endlesslegend,https://endlesslegend.gamepedia.com/api.php,generic,"!random"
l2revolution,https://l2revolution.gamepedia.com/api.php,generic,"!random"
outward,https://outward.gamepedia.com/api.php,generic,"!random"
monsterhunterworld,https://monsterhunterworld.gamepedia.com/api.php,generic,"!random"
spiritmod,https://spiritmod.gamepedia.com/api.php,generic,"!random"
yokaiwatch,https://yokaiwatch.gamepedia.com/api.php,generic,"!random"
cavesofqud,https://cavesofqud.gamepedia.com/api.php,generic,"!random"
tremormod,https://tremormod.gamepedia.com/api.php,generic,"!random"
rend,https://rend.gamepedia.com/api.php,generic,"!random"
pixark,https://pixark.gamepedia.com/api.php,generic,"!random"
